1587#[6, 80, 1, 0, 50, 1, 244, 0]
1591#[6, 80, 1, 0, 50, 1, 244, 0]
1591#[6, 80, 1, 0, 50, 1, 244, 0]
1587#[6, 80, 1, 0, 50, 1, 244, 0]
1587#[6, 80, 1, 0, 50, 1, 244, 0]
1591#[6, 80, 1, 0, 50, 1, 244, 0]
1587#[6, 80, 1, 0, 50, 1, 244, 0]
2041#[6, 80, 1, 0, 50, 1, 244, 0]
1587#[6, 80, 1, 0, 50, 1, 244, 0]
1587#[6, 80, 1, 0, 50, 1, 244, 0]
1591#[6, 80, 1, 0, 50, 1, 244, 0]
2041#[6, 80, 1, 0, 50, 1, 244, 0]
1591#[6, 80, 1, 0, 50, 1, 244, 0]
1587#[6, 80, 1, 0, 50, 1, 244, 0]
1587#[6, 80, 1, 0, 50, 1, 244, 0]
1591#[6, 80, 1, 0, 50, 1, 244, 0]
1587#[6, 80, 1, 0, 50, 1, 244, 0]
1591#[6, 80, 1, 0, 50, 1, 244, 0]
